0.05,0.952
0.15,0.8149
0.25,0.7164
0.35,0.6208
0.45,0.5454
0.55,0.471
0.65,0.397
0.75,0.3662
0.85,0.3156
0.95,0.2791
1.05,0.2853
1.15,0.2524
1.25,0.2397
1.35,0.2414
1.45,0.2463
1.55,0.2794
1.65,0.2909
1.75,0.305
1.85,0.3094
1.95,0.328
2.05,0.373
2.15,0.3756
2.25,0.4105
2.35,0.4254
2.45,0.437
2.55,0.4633
2.65,0.4532
2.75,0.4691
2.85,0.4712
2.95,0.4513
3.05,0.4395
3.15,0.4447
3.25,0.4335
3.35,0.4237
3.45,0.4038
3.55,0.3826
3.65,0.3814
3.75,0.3384
3.85,0.292
3.95,0.2868
4.05,0.2715
4.15,0.2504
4.25,0.2005
4.35,0.2046
4.45,0.1803
4.55,0.1668
4.65,0.1389
4.75,0.1107
4.85,0.1001
4.95,0.0797
5.05,0.0877
5.15,0.0736
5.25,0.0645
5.35,0.0417
5.45,0.0519
5.55,0.0547
5.65,0.0473
5.75,0.0462
5.85,0.0409
5.95,0.0637
6.05,0.0446
6.15,0.0507
6.25,0.0513
6.35,0.0501
6.45,0.0563
6.55,0.0521
6.65,0.0694
6.75,0.0745
6.85,0.0698
6.95,0.0842
7.05,0.0771
7.15,0.0749
7.25,0.0757
7.35,0.0609
7.45,0.099
7.55,0.0813
7.65,0.081
7.75,0.0668
7.85,0.0753
7.95,0.0695
8.05,0.078
8.15,0.0484
8.25,0.0618
8.35,0.0509
8.45,0.0569
8.55,0.0527
8.65,0.0499
8.75,0.0351
8.85,0.0276
8.95,0.0261
9.05,0.0268
9.15,0.0168
9.25,0.0392
9.35,0.0223
9.45,0.0194
9.55,0.0064
9.65,0.0037
9.75,0.0073
9.85,-0.0041
9.95,0.0228
